Content,MainCategory,PhotoURL,Press,SubCategory,Title,URL,WritedAt,Writer
"노인들은 대부분 젊은이보다 걸음걸이가 느리고, 앉았다 일어날 때 유독 힘들어합니다. 노화가 진행되면서 근육이 비정상적으로 줄거나 약해져 신체활동이 어려운 근감소증 증상이 나타났기 때문입니다. 국내의 경우 65세 이상 노인의 약 13%는 근감소증 환자이며 근감소증 환자는 최대 9배까지 사망률이 높아지는 것으로 보고됐지만, 현재까지 이렇다 할 치료제는 없는 실정입니다. [김홍석 / 서울대병원 교수 : 가장 문제는 적절한 치료가 없다는 겁니다. 근감소증이 더 심해지지 않게 단백질 섭취를 장려하거나 아미노산을 보충해주고 운동 격려를 통해서 근력 증강은 못 하더라도 유지 정도는 하도록 도움을 주고 있습니다.] 그런데 국내 연구진이 이미 간 경화와 간 손상 치료제로 사용 중인 약물 말로틸레이트가 근섬유 위축을 억제한다는 사실을 규명했습니다. 생쥐실험에서 말로틸레이트를 투여한 그룹은 근육량 증가의 척도인 근섬유 지름이 그렇지 않은 그룹보다 46% 증가했습니다. 또 투여 그룹의 허벅지 앞쪽 근육 무게도 21% 늘었습니다. 말로틸레이트가 근육 위축에 관여하는 체내 효소의 활성을 억제하고, 이를 통해 근육 소실에 핵심적으로 작용하는 물질을 저해하는 원리입니다. [다런 윌리엄스 / 광주과학기술원 교수 : 말로틸레이트는 근력 향상뿐만 아니라 힘을 낼 수 있는 근섬유의 수를 증가시켜줍니다. 이는 말로틸레이트가 근감소증을 치료할 수 있는 좋은 치료 전략이 될 수 있다는 점을 시사합니다.] 연구진은 말로틸레이트가 근감소증 치료제로 개발될 경우 움직임이 불편하거나 식이조절이 어려운 환자 등에게 큰 도움이 될 것으로 기대했습니다. 또 말로틸레이트는 간 질환 치료제로 이미 미국 FDA에서 승인을 받아 안전성이 입증된 만큼 개발 기간과 비용도 단축할 것으로 전망했습니다. YTN 사이언스 이성규입니다.영상제공 : 광주과기원영상편집 : 최재훈그래픽 : 강민수자막뉴스 : 최지혜[저작권자(c) YTN 무단전재 및 재배포 금지]",IT,,YTN,과학,[자막뉴스] 간 치료제에 이런 성분이? 근섬유 증가 치료제 발견!,https://v.daum.net/v/20221129093453221,2022. 11. 29. 09:34,YTN
"[헤럴드경제=구본혁 기자] 대구경북과학기술원(DGIST) 기술출자 연구소기업 ㈜타임에너지솔루션이 CES 2023에서 ‘지속가능성, 에코디자인 & 스마트 에너지’ 부문에서 혁신상을 수상했다.세계 최대 IT 기술 박람회인 CES 2023은 미국소비자기술협회가 주최하는 행사로 내년 1월 미국 라스베이거스에서 개최될 예정이다. CES 2023 개최에 앞서 기술성, 심미성, 혁신성을 갖춘 제품 및 신기술에 수여하는 ‘혁신상’ 수상 대상자를 발표했는데, ㈜타임에너지솔루션의 ‘친환경 수소연료전지 발전기’가 뛰어난 기술력과 수려한 디자인을 인정받아 ‘지속가능성, 에코디자인 & 스마트 에너지’ 부문을 수상했다.이 제품은 기존 수소연료전지에서 수소공급의 문제점을 해결하여 일반 소비자가 손쉽게 실내외에서 편리하게 사용할 수 있도록 고안됐다. 수소 자체생산이 가능한 구조로 수소화합물과 물을 사용하여 수소발생장치에서 수소가 직접 생산되며, 생산된 수소는 수소버퍼에 저장되고, 저장된 수소는 수소연료전지에 공급되어 전력을 생산할 수 있는 구조를 가지고 있다.손병락 타임에너지솔루션 대표는 “CES 2023에서 현장 관람객과 바이어에게 제품을 선보이고, 친환경 수소연료전지 발전기의 뛰어난 기술력을 바탕으로 사업을 확장해 나가면서 기후위기 극복과 탄소중립 달성에 기여하고자 한다”고 밝혔다.nbgkoo@heraldcorp.com",IT,https://img2.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202211/29/ned/20221129133340886guyu.jpg,헤럴드경제,과학,"DGIST 연구소기업 ‘타임에너지솔루션’, CES 혁신상 수상",https://v.daum.net/v/20221129133337258,2022. 11. 29. 13:33,입력 
"정부 과학기술 출연연구기관들이 소속 연구자의 직무발명에 대한 관리를 소홀히 하고 기술료 미납에 대한 담보를 제대로 설정하지 않아 돈까지 떼인 것으로 확인됐다. 감사원은 이들 출연연에 주의요구를 하는 한편, 주무부처인 과학기술정보통신부에도 실효성 있는 지도·감독 방안을 마련하라고 통보했다.감사원은 지난 5월 과학기술 분야 25개 출연연 중 집중 점검이 필요한 10개 기관을 선정해 15일간 실지 감사를 진행했다고 29일 밝혔다. 감사 결과 모두 48건의 위법·부당사항이 확인됐다.한국전자통신연구원 등 3개 출연연은 소속 직원이 개인 명의로 출원한 지식재산권(5건)을 파악하지 못해 직무발명 여부에 대한 검토 없이 방치하고 있었다. 또 한국전자통신연구원 등 13개 출연연은 소속 직원이 특허 등의 실용화를 위해 설립한 창업기업의 직무발명에 대한 관리체계(신고·지분협의 등)도 마련하지 않고 있었다.한국생산기술연구원 등 2개 출연연의 경우 창업기업 직무발명 관련 규정이 있는데도 창업기업 명의로 출원된 지식재산권(21건)을 파악하지 못해 직무발명 여부에 대한 검토 없이 방치했다. 한국과학기술연구원 등 2개 출연연은 소속 직원이 출원한 지식재산권(9건)에 대해 직무발명심의위원회 검토를 거쳐 해당 권리를 승계받아야 하는데도 위원회 개최 없이 내부검토만으로 미승계 결정이 이뤄지기도 했다.감사원은 과기정통부 장관에게 창업기업의 직무발명 관련 관리 규정을 마련하지 않은 정부출연연구기관에 대해 창업기업이 출원한 지식재산권의 직무발명 해당 여부를 점검하고, 관련 근거 규정을 갖추게 하도록 하는 등 지도·감독 방안을 마련하도록 통보했다.특허 등 연구성과의 민간기업 이전 대가인 기술료를 제대로 관리하지 않은 출연연도 많았다. 한국과학기술연구원과 한국기계연구원은 96건의 기술료 분납계약을 체결하면서 표준 계약서에서 정한 보증보험증권 제출조항을 누락했다.한국과학기술연구원은 49건의 기술료 분납계약을 보증보험증권 제출 조건으로 계약체결하고도 이를 제출받지 않았다. 그 결과 9건, 12억원의 기술료가 연체되고 있는데도 별다른 징수방법 없이 납부기한만 연장하고 있다.한국생산기술연구원과 한국화학연구원은 총 5건의 기술료 분납계약을 체결하면서 내부규정에서 정한 직무발명심의위원회의 승인 없이 보증보험증권 제출을 면제했고, 한국에너지기술연구원은 담보가 설정되어 있으면서 계약체결기업의 폐업ㆍ파산 등으로 담보권 행사 사유가 발생하였는데도 보증보험증권(3억4000만원) 및 공증약속어음 6건(1억2000만원)의 담보권을 미행사했다.- Copyright ⓒ 조선비즈 & Chosun.com -",IT,"https://img4.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202211/29/chosunbiz/20221129140013974thpk.jpg,https://img4.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202211/29/chosunbiz/20221129140014301ctuc.png",조선비즈,과학,감사원 “기술료 미납 담보 설정 안 했다가 돈 못 받는 출연연 태반”,https://v.daum.net/v/20221129140011920,2022. 11. 29. 14:00,이종현 기자
"[한국경제TV 대니얼 오 기자]미국 최대 연말 쇼핑 대목인 '블랙프라이데이'에서 올해 온라인 매출이 모두 91.2억달러의 신기록을 달성한 것으로 나타났다.미국의 CNBC 등 경제매체에 따르면 데이터 분석업체 어도비 애널리틱스의 자료를 인용해 올해 '블랙프라이데이' 기간 동안 91억2천만달러의 매출을 올리며 역대 최대 규모를 기록했다.온라인 쇼핑 매출액은 전년에 비해 2.3% 증가했고, 당일 하루 매출이 90억달러를 넘어선 것은 이번이 처음이다. 특히 스마트폰을 이용한 모바일 매출 비중은 44% 늘어났고 이는 전체 온라인 매출 중 48%를 차지했다.또한 지난 19일부터 시작된 후불 결제는 지난 주에 비해 78% 증가했는데, 이는 미국에 지난 40여년 만의 인플레와 고금리 등의 요인으로 미국 소비자들에게 당장 현금에 대한 부담으로 미래 소득을 앞당겨 이 기간에 사용했다는 것으로 풀이됐다.하지만 반대로 소비자들의 후불 결제로 인한 소매점의 수익은 81% 증가한 것으로 나타나 소비자들의 부담이 결국 소매점에는 매출 신장으로 나타나는 결과를 만들게 됐다.한편, 월스트리트저널은 ""온라인 쇼핑이 늘어난 데 반해 오프라인 소비는 예상보다 시들했다""며 ""팬데믹 이후 약 3년 만에 정상화된 '블랙프라이데이' 할인 행사를 치렀지만 팬데믹 이전에 보였던 매장 앞에서 노숙을 하는 등 새벽에 문을 열자마자 고객들이 쏟아져 들어오는 이른바 '도어버스터'의 모습은 찾기 어려웠다""고 분위기를 전했다.대니얼 오기자 danieloh@wowtv.co.kr",IT,https://img4.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202211/29/kedtv/20221129022924646jyzt.jpg,한국경제TV,인터넷,블랙프라이데이 온라인 매출 91.2억달러 신기록 달성...전년비 2.3% 증가,https://v.daum.net/v/20221129022605294,2022. 11. 29. 02:26,대니얼 오
"29일 서울 종로구 정부서울청사에서 추경호 경제부총리 겸 기획재정부 장관과 원희룡 국토교통부 장관이 화물연대 집단운송거부 관련 관계부처 합동브리핑을 마치고 퇴장하고 있다. 이날 열린 브리핑에는 이상민 행정안전부 장관, 한동훈 법무부 장관, 이창양 산업통상자원부 장관, 이정식 고용노동부 장관, 조승환 해양수산부 장관, 방문규 국무조정실장, 윤희근 경찰청장이 배석했다.",IT,https://img1.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202211/29/dailian/20221129122003880tjsc.jpg,데일리안,인터넷,'화물연대 집단운송거부' 브리핑 마친 추경호 경제부총리 겸 기재부 장관,https://v.daum.net/v/20221129122001064,2022. 11. 29. 12:20,김민호
"(서울=연합뉴스) 문다영 기자 = 정부가 노후한 대형연구시설과 장비를 폐쇄 및 폐기하는 구체적 기준과 계획 등을 정교하게 마련한다.또 통합수요조사체계를 도입해 대형연구시설·장비 도입 절차와 조건 등을 체계화한다.과학기술정보통신부는 29일 제43회 국가과학기술자문회의 심의회의 운영위원회를 열어 이런 내용이 담긴 '제3차 국가연구시설장비 고도화계획(2023∼2027)을 의결했다고 밝혔다. 국가연구시설장비 고도화계획은 5년마다 수립되는 국가연구시설·장비 관련 중장기계획이다. 과기정통부는 명확한 지침이 없어 처분할 때마다 어려웠던 대형연구시설과 장비에 대해 은퇴제를 도입한다. 슈퍼컴퓨터 4호기처럼 노후화로 성능이 저하되거나 대체 시설을 도입해야 하는 대형연구시설 및 장비를 폐쇄 또는 폐기하는 구체적 절차와 방안을 신설하는 것이다.퇴역해야 하는 대형연구시설·장비의 기준, 종료 계획 수립 방법, 심의 시기 및 절차 등을 가이드라인으로 반영하고, 활용 종료를 결정할 때는 대형 연구시설·장비 보유 기관이 소관 부처와 협의해 대형연구시설·장비 종료 계획을 마련하도록 했다.국가연구시설장비심의위원회가 장비 종료를 심의·확정하며, 총사업비 200억 원 이상의 대형연구시설·장비에 대해서는 과기자문회의에서 최종 퇴역 결정을 내리게 된다.과기정통부는 또 대형연구시설과 장비에 대해선 연구 현장 실수요를 종합적으로 파악할 수 있는 통합수요조사체계를 마련한다.가속기나 해저물리탐사선 등 대형연구시설·장비 대규모 예산과 장기간의 구축 기간이 소요되므로 기술 환경 변화와 연구 트렌드를 제때 반영하는 것이 중요하기 때문이다.도출된 수요조사 결과는 부처별 중장기계획 수립 및 사업기획과 예비타당성조사 등에 활용하도록 하고, 대형연구시설·장비 예비타당성조사 이전에 상세하고 충실한 사전기획이 이뤄지도록 지원한다.이 밖에도 과기정통부는 연구기관이 보유한 연구 장비를 효율적으로 활용하도록 스스로 기관 특성에 맞는 연구시설·장비 관리계획을 수립하고 점검하도록 했으며, 연구 장비 공동활용을 위해 지역별 특성을 고려한 거점 연구시설을 지정하고 협력을 지원한다. 국가연구시설·장비 종합정보시스템(ZEUS)은 다른 연구정보시스템과 연계를 강화하고, 수요자가 원하는 정보를 제공하는 종합플랫폼으로 개선할 계획이다.과기정통부는 또 첨단 연구 장비를 운용하는 전문인력을 업무 범위에 따라 유형별로 세분화하고, 숙련도와 전문성이 경력으로 인정되도록 경력관리 시스템을 마련한다.주영창 과학기술혁신본부장은 ""국가연구시설·장비는 국가 전략기술 등 국가 경쟁력과 직결되는 핵심 기술력 확보에 필요한 기반 요소""라며 ""연구자 중심의 자유롭고 활기찬 연구환경 조성에 국가연구시설·장비 고도화계획이 기여하기를 바란다""고 했다. zero@yna.co.kr▶제보는 카톡 okjebo",IT,"https://img2.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202211/29/yonhap/20221129140028778frng.jpg,https://img1.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202211/29/yonhap/20221129140029042rasl.jpg",연합뉴스,과학,대형연구시설·장비 은퇴제 도입…통합수요조사체계도 마련,https://v.daum.net/v/20221129140028944,2022. 11. 29. 14:00,문다영
"남준우 창업진흥원 대리는 정보화 사업 담당자로 근무하며 창업진흥원, 협력기관, 정보화 사업 수행기관 임직원들에 대한 SW 저작권 보호 교육을 체계적으로 실시해 업무와 사업 수행시 저작권 보호에 대한 이해를 높이고 인식을 개선시켰다. 또한 불법 SW 사용 근절을 위한 교육과 차단활동을 통해 정품 SW를 사용하도록 독려하고 있다. 아울러 약 80억원 규모의 정보화 유지보수 사업을 수행하며 SW 전담 관리 인력을 구성해 불법 SW 사용을 지속적으로 모니터링하고 있다. 이밖에 정보화 사업 관련 단위 업무별 가이드 56종을 정의해 사업수행에 있어 저작권 침해 방지를 위한 관리체계를 구축하고, 매년 공공기관 SW 관리실태를 자체적으로 점검해 저작권 침해에 대해 선제적으로 대응하고 있다.",IT,https://img2.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202211/29/dt/20221129184635057udhb.jpg,디지털타임스,과학,[SW산업보호대상] 정보화사업 수행기관 교육,https://v.daum.net/v/20221129184633465,2022. 11. 29. 18:46,김진수
"비온시이노베이터는 체계적이고 효율적인 IT서비스를 통해 고객사의 정보화 수준을 향상시켰다. 설비별 다양한 환경 데이터를 활용한 수배전반 운영·제어를 서비스 중이며, 정상·이상·고장 판별 및 사고 예측 예방이 가능한 인공지능 에너지관리 시스템을 도입했다. 또한 인공지능 기반의 에너지 계통 복구시스템의 구축 연구개발을 통해 국가 에너지 관리 산업의 전문 인력양성 등 노하우를 축적 중이다. 이밖에 대규모 에너지 시스템에서 활용됐던 에너지운영시스템을 소규모 시스템에 맞게 적용함으로써 산학 및 관련 에너지 기업들과 시스템 제작업체들의 참여를 촉진하고 있다. 비온시이노베이터는 최고의 기술력과 미래를 개척하는 도전정신으로 인간중심의 글로벌 IT 선도 기업으로 도약을 준비 중이다.",IT,https://img4.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202211/29/dt/20221129184636531idpq.jpg,디지털타임스,과학,[SW산업보호대상] 고객정보화 수준 향상시켜,https://v.daum.net/v/20221129184635467,2022. 11. 29. 18:46,김진수
"파인드팡 크리에이티브 콘텐츠 스튜디오는 디자이너 및 개발자 전문가 그룹으로, 기관 및 기업에서 필요로 하는 다양한 콘텐츠를 개발하는 등의 서비스를 제공한다. 파인드팡 크리에이티브 콘텐츠 스튜디오는 정품 소프트웨어를 사용해 콘텐츠를 제작하고 있다. 콘텐츠를 제공할 때에도 정품 라이선스 계약을 취득해 사용하고 있다. 또한 올바른 SW 및 라이선스 취득 활동을 위해 콘텐츠 라이선스 플랫폼 구축을 계획 중이다. 이밖에 평소 강연을 할 때, 주변 기업에도 정품 SW 사용을 권장하는 운동을 펼치고 있다. 한편, 파인드팡 크리에이티브 콘텐츠 스튜디오는 2016년 산업자원부 공공데이터 비즈니스 아이디어 공모전 웹툰부분 수상을 시작으로 2021년 경기스타드업 넥스트유니콘 수상 등 다양한 수상 경력을 갖고 있다.",IT,,디지털타임스,과학,[SW산업보호대상] 디자이너·개발자그룹 정품SW로 콘텐츠 제작,https://v.daum.net/v/20221129184631462,2022. 11. 29. 18:46,김진수
"상지엔지니어링건축사사무소는 정품 SW 사용에 솔선수범하고 있다. 정품 SW 사용문화를 정착시키기 위해 SW 관리 담당자를 지정했으며, 관리 SW를 도입해 연중 현황 점검 및 구매부터 폐기까지 효율적인 SW 라이프 사이클 관리를 진행하고 있다. 또한 업무 진행 시 필요한 SW의 수량을 담당자 별로 사전 조사해 신청을 받고 예산을 반영해 라이선스를 구매하는 등 정품 SW 사용에 최선을 다하고 있다. SW 효율적 운영 관리를 위해 SW 담당자의 외부 교육과 세미나에 적극적으로 참여하고 있으며, 임직원 대상 연간 1회 이상 저작권 교육 및 보안 교육을 진행 중이다. 이밖에 SW 담당자는 연 2회 이상 정품 SW 사용 실태 점검을 자체적으로 시행하며, 불법 SW 사용 근절에 앞장서고 있다.",IT,https://img1.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202211/29/dt/20221129184633479sbta.jpg,디지털타임스,과학,[SW산업보호대상] SW구매 예산반영 정품사용,https://v.daum.net/v/20221129184632463,2022. 11. 29. 18:46,김진수
